"File d'attente no 0"
"Statistique des occupations"	1.0	2.0	3.0	4.0	3.0	2.0	1.0	2.0	1.0	3.0	1.0	1.0	0.0	1.0	2.0	1.0	2.0	3.0	3.0	0.0	2.0	0.0	1.0	2.0	3.0	1.0	0.0	1.0	4.0	4.0	0.0	5.0	4.0	6.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	1.0	2.0	6.0	3.0	0.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	4.0	0.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	2.0	5.0	1.0	4.0	1.0	0.0	1.0	6.0	0.0	1.0	0.0	0.0	2.0	1.0	1.0	4.0	1.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	6.0	5.0	3.0	1.0	23.0	195.0	2065.0	19902.0	178274.0
"Statistique des attentes"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
"Pertes de la file"	559296.0
"Nombre de depassements de l'attente maximale"	100366.0
"Attente maximale [pas de simulation]"	200
"Duree de la simulation en pas"	1000000.0
"Unité de temps de simulation"	0.012
"File d'attente no 1"
"Statistique des occupations"	0.0	4.0	0.0	1.0	1.0	1.0	2.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	1.0	0.0	1.0	0.0	6.0	0.0	0.0	1.0	0.0	4.0	0.0	3.0	1.0	4.0	5.0	0.0	1.0	2.0	1.0	3.0	1.0	5.0	9.0	9.0	12.0	1.0	0.0	1.0	1.0	3.0	5.0	2.0	1.0	1.0	1.0	5.0	3.0	2.0	9.0	5.0	2.0	3.0	2.0	0.0	1.0	2.0	1.0	1.0	5.0	2.0	7.0	1.0	0.0	8.0	1.0	4.0	5.0	1.0	1.0	1.0	1.0	3.0	1.0	2.0	2.0	3.0	1.0	3.0	2.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	3.0	3.0	24.0	262.0	2220.0	19684.0	178507.0
"Statistique des attentes"	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"Pertes de la file"	559656.0
"Nombre de depassements de l'attente maximale"	100377.0
